TestName,Tool,Group,Pass,ExitCode,Tags,InputBytes,AllowedTimeout,TimeUser,TimeSystem,TimeWall,RamUsageMiB
class_member_test_14,Xezim,,True,0,uvm-req 8.3,424,30,0.037393,0.037791,0.003495,16.375
class_member_test_31,Xezim,,True,0,uvm-req 8.3,518,30,0.038566,0.03317,0.004258,16.375
class_member_test_12,Xezim,,True,0,uvm-req 8.3,399,30,0.041686,0.034524,0.004643,16.25
class_member_test_15,Xezim,,True,0,uvm-req 8.3,432,30,0.037725,0.036008,0.003995,16.5
class_member_test_27,Xezim,,True,0,uvm-req 8.3,529,30,0.039583,0.034937,0.003471,16.25
class_member_test_41,Xezim,,True,0,uvm-req 8.3,412,30,0.048967,0.027218,0.00472,16.375
class_member_test_2,Xezim,,True,0,uvm-req 8.3,421,30,0.047312,0.031185,0.003513,16.375
class_member_test_40,Xezim,,True,0,uvm-req 8.3,406,30,0.04279,0.032833,0.003582,16.25
class_member_test_8,Xezim,,True,0,uvm-req 8.3,459,30,0.038111,0.034255,0.003677,16.375
class_member_test_7,Xezim,,True,0,uvm-req 8.3,459,30,0.048208,0.028375,0.011207,16.25
class_member_test_3,Xezim,,True,0,uvm-req 8.3,441,30,0.040062,0.037082,0.003507,16.25
casez_pattern,Xezim,,True,0,12.6.1,792,30,0.050398,0.025062,0.004934,16.375
case_constant,Xezim,,True,0,12.5.2,545,30,0.039033,0.034495,0.004153,16.375
casex,Xezim,,True,0,12.5.1,528,30,0.038131,0.034754,0.004334,16.375
priority_if,Xezim,,True,0,12.4.2,477,30,0.046641,0.030015,0.004289,16.375
conditional_pattern,Xezim,,True,0,12.6.3,659,30,0.046607,0.030672,0.004928,16.25
dowhile_loop,Xezim,,True,0,12.7.5,521,30,0.033582,0.043211,0.004145,16.375
foreach_loop_synth,Xezim,,True,0,12.7.3,535,30,0.038919,0.037338,0.005396,16.375
case_set,Xezim,,True,0,12.5.4,500,30,0.046382,0.029347,0.004204,16.125
forever_loop,Xezim,,True,0,12.7.6,452,30,0.043117,0.032004,0.004338,16.375
